Slice_Index,Total_Area,Total_Perimeter,Avg_Centroid_X,Avg_Centroid_Y,Avg_Slope,Avg_Curvature,Avg_Orientation,Avg_Entropy,Avg_Fractal_Dimension,Avg_Circularity,Avg_Rect_Length,Avg_Rect_Width,Avg_Convex_Hull_Area,Avg_Convex_Hull_Perimeter,Hu_Moment_1,Hu_Moment_2,Hu_Moment_3,Hu_Moment_4,Hu_Moment_5,Hu_Moment_6,Hu_Moment_7,Zernike_Moment_1,Zernike_Moment_2,Zernike_Moment_3,Zernike_Moment_4,Zernike_Moment_5,Zernike_Moment_6,Zernike_Moment_7,Zernike_Moment_8,Zernike_Moment_9,Zernike_Moment_10
20,1244.0,211.82337510585785,116.09472389894924,173.02047842611222,0.5272727272727272,2.1545454545454548,44.917154770197016,0.027163056680995803,0.8325426506017461,0.24133628532751442,6.579450607299805,17.351308822631836,347.375,41.654453843832016,0.12142624272369976,0.015961237697875733,0.00044434322752812865,8.832172161513268e-05,4.491187081893244e-08,1.113962567495528e-05,1.6720592930243542e-08,0.31830988618379286,0.013577262144898211,0.26080649170313636,0.13261134508122438,0.033269352383997544,0.0309965050959508,0.06447611930754227,0.019658708292113126,0.03487822505922247,0.037614797049074056
21,1042.0,462.960457444191,170.96594682468236,245.3620055551708,0.5131578947368421,2.1403508771929824,64.16652799287478,0.02771409864459817,0.8611200578326991,0.2329593507233357,7.167618410927909,14.118833405630928,267.35714285714283,35.84497126511165,0.6052118313506615,0.9338670195051868,0.13645533878245938,0.13157808000436083,0.1184138073153969,0.14466012863593228,-0.00012377721813353263,0.31830988618379147,0.03261981447019746,0.16833747635526544,0.023958876919947154,0.03432726391567647,0.07177963024938809,0.05833687638780267,0.16219415003652782,0.12442685819532008,0.06951984000948767
22,363.0,644.4995614290237,53.111748899248894,86.31400543900543,0.5292307692307693,2.0523076923076924,22.458509777482067,0.021145638735999697,0.8568543807690231,0.13721965983483916,5.725271504372358,6.606689453125,144.09375,20.936695627868176,0.24378867618143818,0.2713734062296616,0.04669223202558011,0.2030923581413995,0.20077085286697335,0.34291315490170676,0.13577703038232275,0.3183098861837897,0.15576574417729003,0.0095594508579591,0.03831399113283662,0.07775934606347268,0.03782256486428426,0.2634721301065363,0.235148365662473,0.114673099178997,0.07599405317658384
23,1856.5,269.37972354888916,226.03456324625188,343.11832300924675,0.5214285714285715,2.164285714285714,89.83300025619197,0.031134307559811617,0.9080618814641059,0.3214955839223263,33.672550201416016,72.26445770263672,2046.5,178.15757775306702,0.20631077665309827,0.01596415652017601,0.000267290183517805,1.815280380064527e-05,-5.825270193682026e-10,-1.3457001866359076e-06,1.1222904884901046e-09,0.3183098861837873,0.08141578856975809,0.08746174207071805,0.029767343961075585,0.06066613479827512,0.025557567556248478,0.1492086450452573,0.10362327142705068,0.10391384280403024,0.03327302079366129
24,1370.5,213.23758816719055,218.662410312538,343.20710203088896,0.5436893203883495,2.3883495145631066,89.8330686683477,0.01782232475323082,0.828381963733052,0.3787576212533832,38.0,47.0,1491.5,142.6386857032776,0.17158270632860725,0.0024118267098307816,0.000169033189018429,1.549951433929391e-06,-1.3554505342376669e-11,-2.016205312411935e-08,-2.111100862497315e-11,0.3183098861837919,0.1126413891158484,0.2567608661023864,0.14218721631376957,0.06654678920735149,0.06625130345887505,0.28416992083528325,0.2067606593923588,0.1907601945647291,0.06435665052552585
25,100.0,333.01933228969574,273.0710960073548,301.82579458891513,0.5425531914893617,1.7659574468085106,89.81007633787642,0.009512619086763088,0.7216146189716869,0.3049825681443021,12.13700040181478,17.36907386779785,213.0,48.99750300248464,0.8651117736638358,0.0911504046448542,0.6534591707662788,0.593049437370789,0.6568500713660408,0.23453701639106975,-0.027769477688602624,0.3183098861837895,8.88677991088116e-16,0.536272478407295,0.07601698830228415,0.03451278635382425,0.023621493141438448,0.12706605542887153,0.17050897686305436,0.009910343777545813,0.07504582638397768
26,709.0,130.71067678928375,271.93464974141983,303.20004701457447,0.5303030303030303,1.878787878787879,89.81097462376081,0.009669031504848737,0.8017945767123975,0.5214755760616805,25.956363677978516,38.33370590209961,774.5,102.57143151760101,0.17993737334374352,0.006505739710844118,8.67317522843061e-06,4.2400671814111786e-07,8.105810889720889e-13,3.389122008060895e-08,6.405243163540417e-14,0.3183098861837897,7.378213005130302e-16,0.11609466632015067,0.1263228855715286,0.16106481998607602,0.04919498067906637,0.38155712644277096,0.056791791429559674,0.050699578637466804,0.1839100650117843
27,739.5,131.2964632511139,89.96536698970776,100.7387874690106,0.5633802816901409,1.7605633802816902,29.936785291621288,0.008922321707244494,0.8064025660101026,0.1973100301769254,9.834820429484049,12.942237854003906,268.0,37.257713198661804,0.05899032955616682,0.0016163295451516815,1.1760032028060926e-05,4.184302296723258e-07,-1.4510710947316794e-12,-2.48482237420427e-08,2.3766136118806667e-12,0.3183098861837899,0.010060515742205848,0.05622176907047202,0.13228144508503414,0.16685901303816908,0.014519370797027871,0.41958467587879983,0.08404800360283536,0.05342105666362113,0.17935354526204075
28,828.5,183.23758804798126,269.97042848521426,301.0374170187085,0.53,1.64,89.80964039373649,0.01518226236255485,0.8584593943293181,0.3100796346818786,28.624807357788086,39.26062774658203,940.0,111.92636001110077,0.17383982036589324,0.002780896504814901,5.815116424161376e-05,3.943438983357912e-06,4.405581843137214e-11,2.0373911304791714e-07,4.031259098131691e-11,0.31830988618378975,6.585766451253163e-16,0.03710800431868955,0.14747378986657922,0.11777302149153539,0.05555282854197412,0.36334724085297765,0.09331457299412134,0.024818024887379334,0.08898468717688915
29,1784.5,1428.6631166934967,164.71741802173565,141.79132935624247,0.5094890510948905,2.115328467153285,53.850862960182575,0.04451776852792862,1.130278334613632,0.11370961201155251,12.556477558612823,20.349003350734712,697.3,54.86590061187744,0.3213307506572581,0.16641408705343208,0.20200165018424307,0.1672193107949018,0.2119877289842959,0.1694409020857315,0.000174417473574829,0.31830988618379097,0.07918204455932322,0.3612235134238543,0.12059889833856559,0.20161302620483984,0.02694132573910709,0.16808074018841343,0.06616543868887838,0.02313732427001656,0.17626517724583232
30,2463.0,1336.5626108646393,136.980162094607,143.0336551206316,0.5098634294385432,1.8755690440060697,44.89824551578135,0.05003174405746017,1.1662804393451525,0.20113535164151886,9.311119820390429,15.526256084442139,478.82142857142856,42.012139175619396,0.8545911157199058,3.6580217386226517,6.64211420368689,6.453305153976508,576.7321260349489,43.614880866793364,-0.2927890180602117,0.3183098861837914,0.1265539323476712,0.05845634080909392,0.2101805179242214,0.22165453759557588,0.052414087884712975,0.11816098005290775,0.06809141321454046,0.03171494119510267,0.13282251783897342
31,2646.5,1712.4520003795624,151.51530649415915,160.69698070386627,0.5279069767441861,1.930232558139535,50.28655515726828,0.05715403067288682,1.1929305234318508,0.29412785801677793,4.550595376491547,8.354345736503602,363.5,21.658648252487183,0.15948401431977913,0.03330617983288822,0.010052641668280363,0.013834493343581838,0.003733125388299898,0.007999519870438869,0.00016488616606874317,0.31830988618378986,0.036059401042295984,0.0883664154405417,0.22052510370403436,0.06294637468708598,0.1325286563687684,0.11155097586226013,0.10741323637520811,0.08049243576417987,0.12317727379206646
32,4329.0,1463.3077778816223,98.2027436867866,86.27196800941698,0.5089655172413793,2.0924137931034483,29.925616749074567,0.06128771671750877,1.2483247642924729,0.07296419236211986,6.427548908051991,7.124190065122786,360.0,22.873025105113076,0.15376780222123376,0.047497587910858396,0.014745873949149816,0.03424061455914354,0.0039018916253112206,0.008846825067250949,0.004473007075169215,0.3183098861837913,0.05902753662751413,0.03498228771153326,0.0541485918914766,0.06092847379104968,0.09104626005281104,0.025701004735641537,0.07579710210391631,0.059763796723223545,0.04415358668489014
33,922.5,1538.2022199630737,115.37674716589673,123.04947089296513,0.5110533159947984,2.024707412223667,37.812032281565145,0.044195617979742884,1.1420183946840858,0.15026349300965489,3.910773605892533,5.769956544825905,127.64473684210526,16.406420478695317,0.5256601775707717,1.054490261486592,18.668807879747778,3.1714116774107604,815.5937373751359,2.6335604975164677,151.93196700516975,0.3183098861837887,0.052899048742161274,0.04676308183380545,0.019403085448611503,0.03933350114865293,0.04270519594403432,0.010098562713687071,0.02790971686681218,0.11115956478734072,0.0322698662291161
